A,Dequ,Dins,Dpau,Dpau_an,Dsuc,Dtro,Dwil,Dstu,Dneoc,Dsalt,Dpros
DNA/CMC-Chapaev-3,285,336,314,255,41,279,230,0,0,0,0
DNA/CMC-Transib,380,274,535,450,282,278,320,224,85,358,314
DNA/hAT,312,231,481,348,44,98,261,6,3,2,1
DNA/hAT-Ac,526,481,806,683,393,329,565,243,166,785,701
DNA/hAT-Blackjack,50,17,43,43,4,6,56,11,1,9,11
DNA/hAT-Charlie,3,2,0,0,1,1,0,0,0,4,4
DNA/hAT-hobo,556,281,715,658,274,255,547,94,108,151,128
DNA/hAT-Pegasus,79,53,62,60,62,51,86,235,85,87,80
DNA/hAT-Tip100,37,24,349,246,35,41,56,47,3,54,48
DNA/Kolobok-Hydra,29,5,300,255,105,64,25,0,141,297,13
DNA/Maverick,14,27,36,21,14,15,18,52,0,16,28
DNA/Merlin,0,0,5,3,0,1,2,0,0,34,0
DNA/MULE-NOF,3,0,2,1,0,0,0,0,368,0,1
DNA/P,713,445,769,585,255,613,1064,1094,172,1,430
DNA/PIF-Harbinger,3393,5287,7825,5496,1277,2664,3470,408,9,532,640
DNA/PiggyBac,48,49,213,102,22,25,97,19,3180,708,18
DNA/RC,10303,7053,19800,15910,5135,8717,12154,3032,1,21,6139
DNA/Sola-1,24,0,2,0,4,2,0,2,1,7073,1
DNA/TcMar,8,4,15,13,1,0,0,0,0,1,0
DNA/TcMar-Mariner,147,92,193,170,113,50,87,272,25,328,306
DNA/TcMar-Tc1,261,294,364,510,237,244,329,222,126,287,264
DNA/TcMar-Tigger,206,4,267,261,11,50,108,10,14,351,295
DNA/Zator,10,0,8,7,0,3,4,0,0,0,0
LINE/CR1,4504,4087,6960,5557,287,3733,4227,59,210,266,235
LINE/I,181,229,227,214,300,172,368,269,13,454,361
LINE/I-Jockey,1640,1527,2585,2079,887,1730,2062,1407,668,1094,983
LINE/Penelope,929,358,1936,1471,59,371,569,0,0,0,0
LINE/R1,994,865,2277,1723,104,1069,963,195,218,145,73
LINE/R1-LOA,2,4,2,2,2,1,3,0,0,0,0
LINE/R2,115,18,188,63,20,57,99,0,0,351,90
LINE/RTE-BovB,0,0,0,1,0,0,0,0,0,0,0
LTR/Copia,679,419,1376,1002,122,641,834,86,14,174,133
LTR/Gypsy,10388,9009,20471,15378,1848,10981,14122,2460,2181,3901,2773
LTR/Pao,5821,5470,10169,7646,362,4927,6108,564,418,1780,1165
